track,artist,valence_tags,arousal_tags,dominance_tags,genre,emotion,tags
Tomorrow Is Already Here,Stereolab,5.336666666666666,3.87,4.723333333333334,indie,happy,"['indie', 'post-rock', 'alternative', 'stereolab', 'indie pop', 'indie electronic', 'dotz', 'electronica', 'ambient', 'indie rock']"
On A Beach,Richard Ashcroft,6.83234375,3.7840625,6.471171875,britpop,happy,"['britpop', 'rock', 'alternative', 'Ashcroft', 'indie', 'british i like', 'The Verve', 'beautiful', 'Mellow', 'amazing']"
El Pito,Joe Cuba,4.16,4.88,4.7,latin,sad,"['latin', 'Dizzy Gillespie', 'Manteca', 'jazz fusion', 'hot', '4', 'latin jazz', 'whistling', 'boogaloo', 'Rowdy']"
Riding The Drag,The Narcotic Daffodils,3.52,4.38,3.45,pop,sad,"['pop', 'rock', 'Belgium', 'music', 'records', 'narcotic', 'fakto']"
Shukuru,Pharoah Sanders,5.29,3.48,5.61,jazz,happy,"['jazz', '80s', 'favorites', 'beautiful', 'sax', 'saxophone', 'jazz fusion', 'nocturnal', '1985', 'pharoah sanders']"
Let's Get Ourselves Together (Millenium Mix),Santana,6.57,5.04,5.79,unknown,happy,"['mystical', 'desertmovies']"
The Things That I Used To Do,G. Love & Special Sauce,4.4458940397351,3.350132450331126,5.849801324503311,blues,sad,"['blues', 'Hip-Hop', 'alternative', 'funk', 'alternative rock', 'G Love', 'jazz', 'Mellow', 'male vocalists', 'leapsandbounds CDCollection']"
Walk of Shame,Thee More Shallows,3.555,5.285,4.085,indie,sad,"['indie', 'pop', 'rock', 'post-rock', 'krautrock', 'moody', 'waltz', 'eerie']"
Cable TV,"""Weird Al"" Yankovic",7.81,5.33,6.8,comedy,happy,"['comedy', '80s', 'parody', 'pop', 'rock', 'catchy', 'cover', 'eighties', 'novelty', ""80's""]"
Dead Eyes,aktivehate,1.575,1.66,1.575,dark electro,sad,"['dark electro', 'ethereal', 'ebm', 'terror ebm', 'gloomy', 'melodramatic', 'DarkLight', 'jarry']"
Dust,Ainslie Henderson,3.515,4.065,4.07,unknown,sad,"['seen live', 'beautiful', 'melancholy', 'brooding', 'aching', 'almost favourite songs']"
Political,Halou,5.858999999999999,2.849,5.256,trip-hop,happy,"['trip-hop', 'female vocalists', 'chillout', 'ambient', 'electronic', 'downtempo', 'beautiful', 'chill', 'indie electronic', 'Retro']"
Close-Up,Charles Wilp,6.32,5.13,6.18,bajki,happy,"['sophisticated', 'never heard of the centre of the world', 'bajki']"
i don't want to,Lola Demo,2.75,5.75,4.73,indie,sad,"['indie', 'alternative', 'pop', 'singer-songwriter', 'singer songwriter', 'female vocal', 'lo fi', 'Trashy']"
Dos,Chevelle,6.325681818181818,5.569318181818182,6.062954545454545,alternative rock,happy,"['alternative rock', 'rock', 'hard rock', 'indie', 'alternative', '90s', 'amazing', 'favourite', 'chevelle', 'alternative vocals']"
Spooky Boogie,Gentle Giant,3.77609375,3.1606250000000005,3.520156249999999,progressive rock,sad,"['Progressive rock', 'instrumental', 'rock', 'halloween', 'gentle giant', 'recommended by hypnochicken', '70s', 'prog', 'Symphonic Rock', 'spooky']"
And I Dreamt of You,Underoath,6.6225,5.84,5.595000000000001,metalcore,happy,"['metalcore', 'screamo', 'hardcore', 'deathcore', 'black metal', 'emo', 'Melodic Death Metal', 'melodic black metal', 'wraugh', 'metal']"
Napoleon (Re-recorded version),Ani DiFranco,6.134999999999999,5.21,6.53,alternative,happy,"['alternative', 'female vocalists', 'indie pop', 'Progressive rock', 'singer-songwriter', 'favorites', 'Passionate', 'poignant', 'Good Stuff', 'Hauskaa']"
Detroit City,Alice Cooper,4.24,5.19,5.349999999999999,hard rock,sad,"['hard rock', 'classic rock', 'rock', 'Alice Cooper', '2003', 'feel good', 'detroit', 'old school', 'Garage Rock', 'places']"
alcohol,カヒミ・カリィ,5.278440366972477,4.873761467889907,4.532981651376146,rock,happy,"['japanese', 'rock', 'female vocalists', 'JPop', 'drugs', 'boring', 'garbage', 'idiot', 'hipster', 'generic']"
Come un sospiro,Yanni,7.0,4.43,5.95,drama,happy,"['elegant', '8 of 10 stars', 'emotion', 'drama', 'classy']"
Em Nagoya Eu Vi Eriko,Seu Jorge,8.0,5.76,7.32,reggae,happy,"['brasil', 'reggae', 'world', 'summer', 'Bossa Nova', 'cheerful', 'fip', 'on an island above', 'krut']"
Shoot First,moe.,3.05,3.05,5.79,rock,sad,"['Jam', 'rock', 'jam band', 'country rock', 'lazy', 'moe']"
Nataraj - Black Phone,Jai Uttal,4.9799999999999995,2.49,4.325,mantra,sad,"['Indian Fusion', 'mantra', 'world', 'Meditation', 'electronic', 'ambient', 'yoga', 'Kirtan', 'trance', 'chillout']"
"Beloved, You've come Today- Tumi Je Esecho Aj",JYosna La Trobe,2.91,2.41,3.15,acoustic,sad,"['acoustic', 'spiritual', 'devotional', 'bhajan']"
2 Ghosts I,Nine Inch Nails,5.2588,3.8392,4.9629,ambient,happy,"['instrumental', 'ambient', 'industrial', 'atmospheric', 'Dark-Ambient', 'electronic', 'rock', 'beautiful', 'industrial rock', 'experimental']"
A Dance With Dragons,Slice the Cake,5.0,5.28,6.24,djent,sad,"['DJENT', 'Progressive', 'deathcore', 'technical', 'Extreme']"
This Moment,Matt Wertz,7.525,3.635,5.84,pop,happy,"['pop', 'singer-songwriter', 'easy listening', 'Matt Wentz', 'alternative rock', 'Love', 'Awesome', 'christian', 'relaxing', 'male vocalists']"
Mad Izm (Featuring KRS-One),Channel Live,5.84,4.633333333333334,5.98,hip-hop,happy,"['Hip-Hop', '90s', 'underground', 'witty', 'Brash', 'Bravado', 'classic hip-hop', 'mad izm']"
Pedal Steel,Stephen Kellogg & the Sixers,5.9,3.81,6.67,unknown,happy,"['earnest', 'stuck in my head for days at a time']"
Suzy & Jeffrey,Blondie,4.932,3.814,4.686,new wave,sad,"['new wave', 'pop', '80s', 'punk', '1980', 'debbie harry', 'Blondie', 'Songs with names', 'rock', '70s']"
Maenam,Jami Sieber,4.5912500000000005,3.4137500000000003,4.976249999999999,cello,sad,"['braid', 'cello', 'ambient', 'Meditation', 'meditative', 'instrumental', 'world', 'Mellow', 'ethereal', 'relaxing']"
Sun,Cabinet of Natural Curiosities,6.269,3.711,5.602,folk,happy,"['folk', 'indie', 'acoustic', 'Dreamy', '00s', 'hayfields and sunshine', 'female vocalists', 'Lo-Fi', 'bells', 'haunting']"
Love Changes,Stevie Nicks,5.2299999999999995,4.865,4.960000000000001,rock,happy,"['rock', 'female vocalists', 'soft rock', 'classic rock', 'pop', 'Love', 'easy listening', 'rock n roll', 'heartbreak', 'Pop-Rock']"
Stand Up And Shout,The Tubes,2.7425,3.395,3.935,rock,sad,"['rock', 'classic rock', '70s', 'alternative', 'alternative rock', 'hard rock', 'Progressive rock', 'album rock', 'Experimental Rock', 'blues']"
Light's On,Secret Machines,3.725,2.095,3.5,indie rock,sad,"['indie rock', 'seen live', 'indie', 'rock', 'electronic', 'space rock', 'loved', 'Favourites', 'Future Rock', 'Party on']"
Saturday Night,McFly,7.569999999999999,6.1,5.8100000000000005,pop,happy,"['pop', 'pop rock', 'McFly', 'british', 'rock', 'rock n roll', 'britpop', 'power pop', 'UK', 'easy listening']"
my head is in the couch so don't cut it off,5 Animals At The Zoo Eating Grass,5.054,5.376,5.328,noise,happy,"['noise', 'experimental', 'strange', 'weird', 'avant garde', 'Avant-Garde', 'no wave', 'check out', 'noisecore', 'post noise']"
Flowers Were Real,Esa,3.44,5.63,4.04,unknown,sad,['Harsh']
All These Arms,Marching Church,4.115,3.705,3.88,punk,sad,"['punk', 'dark', 'post-punk', 'gloomy']"
Slipping Away,Michael Andrews,4.866746987951807,3.8590361445783135,4.547590361445783,soundtrack,sad,"['Soundtrack', 'Donnie Darko', 'instrumental', 'ambient', 'dark ambient', 'chillout', 'piano', 'Dreamy', 'ost', 'soundtrackgdchill']"
Get On Your Knees,Necro,2.8466666666666667,2.8833333333333337,3.2666666666666666,hip hop,sad,"['hip hop', 'rap', 'Hip-Hop', 'underground hip-hop', 'hiphop', 'underground hip hop', 'Death Rap', 'underground hiphop', 'Necro', 'turntablism']"
Big Bank Dank (ft Blue Scholars),Olu,7.655,4.93,6.485,happy,happy,"['happy', 'underground hip-hop', 'feel good', 'upbeat', 'morning', 'lyrical', 'soundtrack to my life', 'Stoney']"
Survivalism [Remix to Nine Inch Nails],Church of Machinery,3.94,4.36,4.83,industrial rock,sad,"['remix', 'industrial rock', 'dark electro', 'NOT INDUSTRIAL', 'Aggrotech', 'fine', 'gritty', 'shiny', 'DarkLight', 'copycats']"
Set The Controls For The Heart Of The Sun (2011 - Remaster),Pink Floyd,3.964,3.56,3.816,british,sad,"['1968', 'british', 'psychedelic', 'Dreamy', '3', 'art rock', 'Pink Floyd', 'eerie', 'hypnotic', 'spacey']"
"Divertimento No. 17 for 2 Horns & Strings In D, K. 334: Menuetto",Dennis Brain,7.32,4.15,6.45,classical,happy,"['mozart', 'Classical', 'concerto', 'horn', 'Carefree', 'cor', 'cuivre']"
Why the Owl Wins,Skerror,5.55,4.433333333333334,5.216666666666667,ambient,happy,"['female', 'ambient', 'fast', 'dark', 'Warp', 'idm', 'mystery', 'bird', 'cyberpunk', 'dark ambient']"
Tunga,Mamadou Diabate,4.87,2.6566666666666667,4.09,world,sad,"['mali', 'world', 'kora', 'africa', 'african', 'instrumental', 'african blues', 'tunga', 'Classical', 'epic']"
"I Take My Chances (Live - Madison, WI)",Mary Chapin Carpenter,5.55,4.29,6.17,piano rock,happy,"['organic', 'alt folk', 'piano rock', 'en vivo', 'trail mix', 'Clitrock', 'acustica', 'lyrically provocative', 'rachael kt vienna']"
Lose Yourself (8 Mile),Eminem,6.81,5.14,6.54,hip-hop,happy,"['Hip-Hop', 'strong', 'Eminem', 'my music', 'Meaningful', 'Sincere']"
Isora Club,Rubén González,5.707777777777777,3.7266666666666666,5.497777777777777,latin,happy,"['latin', 'cuban', 'piano', 'cuba', 'latin jazz', 'jazz', 'buena vista social club', 'Cuban Jazz', 'chillout', 'dance']"
Earth To Doris,Was (Not Was),7.0,4.43,5.95,pop,happy,"['pop', 'spoken word', 'elegant', 'Songs with names', 'songs that are silly', 'the word earth', 'the word to', 'songs with proper names', 'RT Pearls']"
Visiting,Will Ackerman; William Ackerman,6.55,4.235,6.64,unknown,happy,"['peaceful', 'ambiance', 'poignant', 'finish the night']"
Lounge (Closing Time),Modest Mouse,7.078749999999999,4.108750000000001,6.327500000000001,indie,happy,"['indie', 'indie rock', 'alternative', 'rock', 'alternative rock', 'quirky', '90s', 'Modest Mouse', 'folk', 'experimental']"
Memories,Robert Wyatt,6.601481481481481,4.062296296296296,5.868074074074075,progressive rock,happy,"['Progressive rock', 'jazz', 'rock', 'atmospheric', 'Canterbury', 'Canterbury Scene', 'Dreamy', 'gentle', 'Dream', 'kalijaa']"
The Worst,Shel Silverstein,5.4825,3.7475,4.825,unknown,happy,"['fun', 'lyrical', 'silly', 'childrens', 'goofy', 'bald', 'Shady', 'bearded', 'beard', 'child-like']"
Thank You!!!,Archaic,5.0,5.28,6.24,thrash metal,sad,"['beautiful', 'Awesome', 'thrash metal', 'technical', 'genious', 'progressive thrash metal', 'great riffs']"
Soon As I Get Home,Faith Evans,7.199649122807018,4.608947368421053,6.126842105263157,soul,happy,"['rnb', 'Faith Evans', 'female vocalists', 'soul', 'slow jams', '90s', 'Soon as i get home', 'love songs', 'r and b', 'Love']"
Corduroy,Jaymay,3.34,1.405,3.5,folk,sad,"['folk', 'female vocalists', 'Mellow', 'wistful', 'charming', 'jaymay', 'miss you', 'This song breaks my heart', 'random love', 'indie']"
Alpha Beta Gaga - Mark Ronson Dub,Air,6.32,5.13,6.18,unknown,happy,"['whistling', 'beatz']"
Blaze,Strike Anywhere,7.1450000000000005,5.6274999999999995,6.117499999999999,melodic hardcore,happy,"['melodic hardcore', 'punk', 'punk rock', 'hardcore', 'Energetic', 'Rousing', 'skate punk', 'political punk', 'hardcore punk', 'Pounding']"
Chu Chu Lovely Muni Muni Mura Mura Purin Purin Boron Nurururerorero,Maximum the Hormone,5.11,5.52,5.05,j-rock,happy,"['J-rock', 'japanese', 'J-Metal', 'Fucking Funny', 'hardcore', 'metal', 'punk', 'hyper', 'jrock', 'bang your head on the walls and scream histerically']"
Stan [Live][*],Elton John/Eminem,6.32,3.23,5.61,rap,happy,"['rap', 'narrative', 'Eminem', 'hip-pop']"
Nightshift,Sarah Nixey,3.15,3.32,3.15,electronic,sad,"['electronic', 'rock', 'cover', 'synthpop', 'gloomy', 'unsown', 'justy evil web']"
Embody,Sebastian,8.47,6.049999999999999,7.21,electro,happy,"['electro', 'french', 'french electro', 'french touch', 'electronic', 'ed banger', 'nu disco', 'electronica', 'happy', 'piano']"
Seragaki (Junkie XL remix),Ryukyu Underground,6.267142857142857,4.47,5.371428571428571,chill,happy,"['chill', 'Dreamy', 'Progressive House', 'trance', 'atmospheric', 'great', 'exotic', 'early morning music', 'late night music']"
Atlantis,Color Collapse,6.672631578947368,3.8105263157894735,6.367894736842105,chill,happy,"['chill', 'alternative', 'Dreamy', 'Mellow', 'alt rock', 'underwater', 'experimental', 'Progressive', 'prog rock', 'legend']"
Saturday Nightmares,Logh,6.078333333333333,3.206666666666667,5.808333333333334,post-rock,happy,"['post-rock', 'indie', 'indie rock', 'piano', 'rock', 'swedish', 'postrock', 'Saturday', 'duyster', 'logh']"
London Town,Wings,6.580074074074075,2.7620000000000005,6.679481481481481,pop,happy,"['70s', 'soft rock', 'chillout', 'pop', 'rock', 'singer-songwriter', 'pop rock', 'relaxed', '1978', 'harmony']"
What We Have Known,Joanna Newsom,6.56076923076923,4.601282051282051,5.88025641025641,folk,happy,"['folk', 'female vocalists', 'indie', 'harp', 'singer-songwriter', 'freak folk', 'female vocalist', 'quirky', 'american', 'indie folk']"
The North Wind Blew South,Headless Heroes,4.485940594059406,4.205346534653465,3.735445544554455,folk,sad,"['folk', 'female vocalists', 'trance', 'psychedelic', 'Out of Space', 'peace music', 'melody maker', 'indie', 'rock', 'alternative']"
Celebration,w-inds.,8.0,5.76,7.32,unknown,happy,"['favorites', 'cute', 'cheerful', 'should listen', 'dancing', 'Vision Factory', 'w-inds', 'wfl', 'My Top Musics']"
Puakenikeni,Nicole Scherzinger,7.414705882352941,6.680882352941176,6.082058823529412,pop,happy,"['Nicole Scherzinger', 'pop', 'female vocalists', 'dance', 'rnb', 'puakenikeni', 'sexy', 'hot', 'hip hop', 'dance-pop']"
Someone's Second Kiss,RJD2,5.739393939393938,3.422121212121212,5.692424242424242,electronic,happy,"['chillout', 'electronic', 'trip-hop', 'Hip-Hop', 'turntablism', 'downtempo', 'electronica', 'chill', 'instrumental hip-hop', 'hip hop']"
Mosquito Song,Queens of the Stone Age,5.111818181818181,3.671818181818182,5.199350649350649,stoner rock,happy,"['Stoner Rock', 'rock', 'alternative rock', 'acoustic', 'alternative', 'hard rock', 'Queens Of The Stone Age', 'beautiful', 'Mellow', '00s']"
Miami Showdown,Digitalism,7.19,4.8,5.32,electro,happy,"['electro', 'electronic', '2011', 'kick your ass', '10s', 'electro-house', 'instrumental', 'epic', 'german', 'play']"
L'Eté Indien,Joe Dassin,5.600285714285714,5.8917142857142855,5.78,french,happy,"['chanson francaise', 'Joe Dassin', 'french', 'Retro', 'Ballad', 'romance', 'Erotic', 'slow dance', 'chanson', 'pop']"
Regen des Verfalls,Die In Progress,3.137142857142857,5.032857142857143,3.388571428571429,noise,sad,"['noise', 'electronic', 'electronica', 'alternative', 'goth', 'hardcore', 'experimental', 'sexy', 'post-rock', 'electro']"
Overjoyed,Bastille,6.2785714285714285,3.4357142857142855,6.5200000000000005,alternative,happy,"['alternative', 'indie', 'electronic', 'bastille', 'Mellow', 'rock', 'indie pop', '10s', 'pop', 'british']"
Bpd,Ilya,2.8433333333333333,2.6133333333333333,3.22,trip-hop,sad,"['trip-hop', 'indie rock', 'sad', 'slow', '2003', 'quirky', 'trip hop', 'introspective', 'great', 'ethereal']"
Rebel on the Run,Hanoi Rocks,3.85,5.64,4.6,hard rock,sad,"['hard rock', 'rock', 'hair metal', 'glam rock', 'rock n roll', 'sleazy', 'Cock rock', 'music', 'sleaze', 'Glam Metal']"
Dungeness,Athlete,6.616567164179105,3.200746268656716,6.700597014925373,indie,happy,"['indie', 'british i like', 'british', 'Mellow', 'rock', 'indie rock', 'soft rock', '00s', 'casio rock', 'electronic']"
La Réjouissance,Georg Friedrich Händel,7.45,5.05,6.05,classical,happy,"['Classical', 'baroque', 'favorite songs', 'symphony', 'Baroque Composers', 'Barroco', 'barock', 'english', 'triumphant', 'mozart']"
Sabotage (Ordos),Jarrid Mendelson,3.44,5.63,4.04,industrial,sad,"['industrial', 'video game music', 'Harsh']"
Jar,Negură Bunget,3.4,5.57,3.9100000000000006,black metal,sad,"['black metal', 'ambient', 'folk metal', 'eerie', 'athmospheric black metal', 'Romanian', 'forest', 'progressive black metal']"
Body Machine Body (Freakangel Remix),Leæther Strip,3.94,4.36,4.83,dark electro,sad,"['dark electro', 'ebm', 'gritty', 'melodramatic']"
03 Ты мне казалась,Ласка,3.578,4.218,4.008,indie,sad,"['indie', 'pop rock', 'russian', 'Ballad', 'depression', 'lonely', 'Pop-Rock', 'heart', 'life', 'electrorock']"
Feelin' Fine,Ultrabeat,7.484999999999999,5.2375,6.9925,dance,happy,"['dance', 'party', 'Uplifting', 'BlooDxMoBx', 'pop', 'british', 'oldschool', 'happy', 'upbeat', 'summer']"
What Makes You Think You're the One,Fleetwood Mac,4.883309352517986,4.522302158273381,4.972446043165467,rock,sad,"['rock', 'classic rock', '70s', 'Fleetwood Mac', 'pop', 'alternative rock', 'hard rock', 'guitar', 'Awesome Guitar Jams', 'lindsey buckingham']"
Last Good Sleep,Company Flow,4.973714285714285,4.391714285714286,4.824285714285714,hip-hop,sad,"['Hip-Hop', 'underground hip-hop', 'dark', 'poetry', 'essential nerd rap', 'hip hop', 'rap', 'new york', 'moody', 'hiphop']"
Girl,Sibylle Baier,6.8,2.9448799999999995,6.427359999999998,folk,happy,"['folk', 'female vocalists', 'singer-songwriter', 'Mellow', 'soft', 'acoustic', 'indie', 'Lo-Fi', 'female vocalist', 'vugube62']"
America Loves Gangsters,CunninLynguists,5.65,6.6,5.57,hip-hop,happy,"['Hip-Hop', 'hip hop', 'Dope', 'rap', 'CunninLynguists', 'conversation with god', 'Real hip-hop', 'brain2brain', 'seen live', 'intense']"
04 - Pleasure and Pain,Ben Harper & The Innocent Criminals,6.62,2.97,6.8533333333333335,unknown,happy,"['Mellow', 'current favourites']"
Careless Love,Bonnie 'Prince' Billy,4.228728813559322,3.391101694915254,4.531864406779661,folk,sad,"['folk', 'singer-songwriter', 'Alt-country', 'americana', 'blues', 'soft', 'chillout', 'jazz', 'rock', 'Love']"
Square Four,Buck 65,4.4,6.0,4.48,unknown,sad,"['spooky', 'haunting', 'funky', 'personal favourites', 'adrien wayne', 'dark and long', 'Trivially Serious']"
Der Zörn Gottes,Dernière Volonté,5.4,4.23,4.59,martial industrial,happy,"['martial industrial', 'seen live', 'ambient', 'neofolk', 'martial', 'martial ambient', 'Martial Neofolk', 'Military Ambient']"
For Muzik,4minute,6.203333333333333,5.766666666666667,5.673333333333334,k-pop,happy,"['k-pop', 'Korean', '4minute', 'dance', 'r&b', 'Brutal Death Metal', 'brutal deathcore', 'pop', '2009', 'intro']"
South Pennsylvania Waltz,16 Horsepower,4.035238095238095,3.5428571428571427,3.795873015873016,country,sad,"['Alt-country', 'southern gothic', 'country', 'folkrock', 'gloomy', 'rock', 'americana', 'Awesome', 'New Weird America', 'gothabilly']"
Galaxy Gramophone,The Soundtrack of Our Lives,4.14,6.62,3.32,swedish,sad,"['swedish', 'psychedelic', 'explosive', 'brilliant', '10 of 10 stars', '1996', 'neo psychedelic', 'b side']"
Would You Mind,Janet Jackson,7.019310344827586,6.472413793103449,5.888275862068965,pop,happy,"['sexy', 'rnb', 'pop', 'female vocalists', 'janet jackson', 'soul', '2000s', 'rap', 'sensual', 'janet jackson - would you mind']"
Quarter To Seven,The Fairways,5.9,3.81,6.67,unknown,happy,"['aaa', 'earnest', 'love song', 'Rushmore', 'a mental popsicle', 'city calm down']"
French Blue,Janet Jackson,6.536666666666667,5.14,6.18,soul,happy,"['soul', 'sexy', 'dance', 'urban', 'funk', 'cool', 'b-side', 'funny', '1984', 'favorite by this singer']"
Item-Sortilegium,Laïs,3.0,5.35,3.7,folk,sad,"['folk', 'female vocalists', 'scary', '00s', 'belgian', 'close harmony', 'Vlaams', 'again', '1309fh']"
In My Life,Johnny Cash,4.9443636363636365,3.958545454545455,5.037272727272727,country,sad,"['country', 'cover', 'folk', 'Johnny Cash', 'covers', 'acoustic', 'beatles cover', 'singer-songwriter', 'sad', 'cash']"
Why Don't We Do It in the Road?,The Beatles,6.277301587301587,5.396984126984128,5.912222222222224,classic rock,happy,"['classic rock', 'rock', '60s', 'british', 'The Beatles', 'pop', 'blues rock', 'sex', 'beatles', '1968']"
Hello Sunshine,Super Furry Animals,6.787142857142857,3.970612244897959,6.312551020408163,indie,happy,"['indie', 'the oc', 'rock', 'indie rock', 'alternative', 'Mellow', 'Soundtrack', 'indie pop', 'beautiful', 'chill']"
I'm Taking the Train Home,The Twilight Sad,4.296666666666667,4.213333333333333,3.8666666666666663,indie,sad,"['indie', 'indie rock', 'shoegaze', 'Scottish', 'rock', 'trains', 'Eargasm', 'alternative', 'noise rock', 'post-rock']"
Ring My Bell,Salty Dog,3.85,5.64,4.6,rock,sad,"['rock', '80s', 'hard rock', 'hair metal', 'rock n roll', 'songs i love', 'sleazy', 'Cock rock', '80s Heavy Metal', 'sleaze']"
Quasimodo's Thump,Ernesto Schnack,7.12,6.1,6.86,acoustic,happy,"['instrumental', 'fast', 'acoustic', 'world', 'groove', 'ethnic', 'Jam', 'uptempo', 'Middle-Eastern', 'lively']"
Arrival of the Birds,The Cinematic Orchestra,4.715815899581591,3.9075732217573225,4.5557322175732216,chill,sad,"['chillout', 'beautiful', 'melancholy', 'instrumental', 'Something Beautiful', 'theinfinitesadness', 'chill', 'Soundtrack', 'epic', 'strings']"
Mr. Handagote,Tomáš Dvořák,6.546666666666667,4.283333333333333,5.753333333333334,electronic,happy,"['electronic', 'Soundtrack', 'ambient', 'chillout', 'chill', 'experimental', 'Love', 'beautiful', '8-bit', 'Soundtracks']"
Fake Plastic Trees,Radiohead,4.882053571428572,3.857321428571429,4.973392857142857,alternative,sad,"['alternative', 'alternative rock', 'rock', 'radiohead', '90s', 'british', 'beautiful', 'indie', 'sad', 'Mellow']"
Girl,John Parish & Polly Jean Harvey,4.865,3.49,5.24,alternative,sad,"['alternative', 'freedom', 'may', 'ugly', 'v0k4l str1ngs']"
Mirror,Resurrection Band,3.19,5.0,3.21,hard rock,sad,"['hard rock', 'heavy metal', 'christian rock', 'desperate', 'christian metal']"
umbrella,The Northern Coast,6.665,3.79,6.155,indie,happy,"['manc', 'indie', 'british', 'singer-songwriter', 'UK', '2008', 'unsigned', 'acoustic', 'Lo-Fi', 'beautiful']"
Strip (feat. Kevin McCall),Chris Brown,7.42,5.375,6.295,r&b,happy,"['rnb', 'r&b', 'Like', 'sensual', '5 of 10 stars']"
Underfoot,JK Flesh,4.52,3.635,4.23,industrial,sad,"['industrial', 'experimental', 'dark', 'bleak', 'Post-Industrial', 'Justin Broadrick', 'industrial dub', 'justin karl michael broadrick']"
The Wind,Billy Bob Thornton,2.7425,3.395,3.935,classic rock,sad,"['Warren Zevon', 'covers', 'classic rock', 'rock', 'country', 'alternative rock', 'Progressive rock', 'blues', 'guitar', 'cover']"
Don't Care 'bout Nothin',Shotgun Messiah,3.85,5.64,4.6,hard rock,sad,"['hard rock', 'hair metal', 'Glam Metal', '80s', 'glam rock', '80s hard rock', 'heavy metal', 'rock', 'rock n roll', 'sleazy']"
Stay and Fight,Tamar Braxton,6.37,3.945,6.22,soul,happy,"['soul', 'female vocalists', 'smooth', 'rnb', 'sophisticated', '8 of 10 stars', 'emotion', '2010s', 'drama', 'classy']"
Rewind,Stereophonics,5.827727272727272,3.855454545454545,5.800909090909092,rock,happy,"['rock', 'alternative rock', 'indie', 'indie rock', 'Stereophonics', 'alternative', 'britpop', 'british', 'Reflective', '2005']"
Supervillian Music,Chilly Gonzales,6.3933333333333335,4.986666666666666,6.3533333333333335,unknown,happy,"['seen live', 'Canadian', 'male vocalists', 'funny', 'silly']"
