track,artist,valence_tags,arousal_tags,dominance_tags,genre,emotion,tags_with_weights,tag_text
Blues For Marili ( LP Version ),T-Bone Walker,3.05,3.05,5.79,unknown,sad,"[('blues guitar', 100), ('lazy', 100)]",blues guitar blues guitar blues guitar blues guitar blues guitar blues guitar blues guitar blues guitar blues guitar blues guitar lazy lazy lazy lazy lazy lazy lazy lazy lazy lazy
When You Have A Faint Heart,The Harvest Ministers,3.236666666666667,2.87,3.43,sad,sad,"[('heart flood', 100), ('sad', 50), ('romantic', 50), ('beautiful', 50), ('literate', 50)]",heart flood heart flood heart flood heart flood heart flood heart flood heart flood heart flood heart flood heart flood sad sad sad sad sad romantic romantic romantic romantic romantic beautiful beautiful beautiful beautiful beautiful literate literate literate literate literate
OnceBittenTwiceShy,Poison,3.85,5.64,4.6,unknown,sad,"[('sleazy', 100)]",sleazy sleazy sleazy sleazy sleazy sleazy sleazy sleazy sleazy sleazy
Desperate Guys,The Faint,6.605409836065574,5.242622950819673,5.639344262295082,electronic,happy,"[('electronic', 100), ('indie', 97), ('dance', 75), ('new wave', 68), ('electronica', 54), ('electro', 36), ('The Faint', 33), ('alternative', 25), ('indie rock', 25), ('fun', 25), ('rock', 22), ('synthpop', 22), ('pop', 18), ('punk', 18), ('the oc', 18), ('indietronica', 15), ('violin', 15), ('interesting', 15), ('amayzes loved', 15), ('emo', 11)]",electronic electronic electronic electronic electronic electronic electronic electronic electronic electronic indie indie indie indie indie indie indie indie indie dance dance dance dance dance dance dance new wave new wave new wave new wave new wave new wave electronica electronica electronica electronica electronica electro electro electro The Faint The Faint The Faint alternative alternative indie rock indie rock fun fun rock rock synthpop synthpop pop punk the oc indietronica violin interesting amayzes loved emo
1 A.M.,Beautiful Creatures,3.850000000000001,5.64,4.6,hard rock,sad,"[('hard rock', 100), ('rock', 75), ('alternative metal', 50), ('alternative rock', 38), ('Dj Ashba', 38), ('metal', 25), ('Glam Metal', 25), ('sleaze rock', 25), ('beautiful creatures', 25), ('alternative', 13), ('hair metal', 13), ('male vocalists', 13), ('rock n roll', 13), ('sleazy', 13), ('8 of 10 stars', 13), ('sleaze', 13), ('biker rock', 13), ('Smallville', 13), ('true metal', 13), ('sleazy rock', 13)]",hard rock hard rock hard rock hard rock hard rock hard rock hard rock hard rock hard rock hard rock rock rock rock rock rock rock rock alternative metal alternative metal alternative metal alternative metal alternative metal alternative rock alternative rock alternative rock Dj Ashba Dj Ashba Dj Ashba metal metal Glam Metal Glam Metal sleaze rock sleaze rock beautiful creatures beautiful creatures alternative hair metal male vocalists rock n roll sleazy 8 of 10 stars sleaze biker rock Smallville true metal sleazy rock
The Feeling,Puressence,6.55,5.535,6.035,pop,happy,"[('pop', 100), ('sexy', 100), ('britpop', 100), ('orchestral', 100), ('songwriter', 100), ('favourite', 100), ('stylish', 100), ('kleine helfer 2', 100)]",pop pop pop pop pop pop pop pop pop pop sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy britpop britpop britpop britpop britpop britpop britpop britpop britpop britpop orchestral orchestral orchestral orchestral orchestral orchestral orchestral orchestral orchestral orchestral songwriter songwriter songwriter songwriter songwriter songwriter songwriter songwriter songwriter songwriter favourite favourite favourite favourite favourite favourite favourite favourite favourite favourite stylish stylish stylish stylish stylish stylish stylish stylish stylish stylish kleine helfer 2 kleine helfer 2 kleine helfer 2 kleine helfer 2 kleine helfer 2 kleine helfer 2 kleine helfer 2 kleine helfer 2 kleine helfer 2 kleine helfer 2
Beyond You,Marillion,6.584999999999999,5.9750000000000005,5.344999999999999,progressive rock,happy,"[('Progressive rock', 100), ('beautiful', 16), ('rock', 8), ('Love', 8), ('90s', 8), ('art rock', 8), ('dramatic', 8), ('Favourites', 8), ('fucked up', 8), ('neo progressive', 8), ('Passion', 8), ('goosebumps', 8), ('5star', 8), ('marillion', 8), ('massive walls of emotions', 8), ('soundscapes of the imaginative consciousness', 8), ('something in the air', 8), ('voice lust', 8), ('najsmutniejsze smutki', 8), ('your song', 8)]",Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock beautiful
Tomorrow Is Already Here,Stereolab,5.336666666666666,3.87,4.723333333333334,indie,happy,"[('indie', 100), ('post-rock', 100), ('alternative', 84), ('stereolab', 84), ('indie pop', 67), ('indie electronic', 67), ('dotz', 67), ('electronica', 50), ('ambient', 50), ('indie rock', 50), ('Experimental Rock', 50), ('ambient pop', 50), ('shoegaze', 50), ('electronic', 34), ('pop', 34), ('rock', 34), ('british', 34), ('experimental', 34), ('britpop', 34), ('90s', 34)]",indie indie indie indie indie indie indie indie indie indie post-rock post-rock post-rock post-rock post-rock post-rock post-rock post-rock post-rock post-rock alternative alternative alternative alternative alternative alternative alternative alternative stereolab stereolab stereolab stereolab stereolab stereolab stereolab stereolab indie pop indie pop indie pop indie pop indie pop indie pop indie electronic indie electronic indie electronic indie electronic indie electronic indie electronic dotz dotz dotz dotz dotz dotz electronica electronica electronica electronica electronica ambient ambient ambient ambient ambient indie rock indie rock indie rock indie rock indie rock Experimental Rock Experimental Rock Experimental Rock Experimental Rock Experimental Rock ambient pop ambient pop ambient pop ambient pop ambient pop shoegaze shoegaze shoegaze shoegaze shoegaze electronic electronic electronic pop pop pop rock rock rock british british british experimental experimental experimental britpop britpop britpop 90s 90s 90s
On A Beach,Richard Ashcroft,6.83234375,3.7840625,6.471171875,britpop,happy,"[('britpop', 100), ('rock', 88), ('alternative', 75), ('Ashcroft', 75), ('indie', 63), ('british i like', 63), ('The Verve', 63), ('beautiful', 38), ('Mellow', 38), ('amazing', 25), ('Richard Ashcroft', 25), ('Rock Britanico', 25), ('jazz', 13), ('pop', 13), ('chill', 13), ('british', 13), ('alternative rock', 13), ('indie rock', 13), ('favorites', 13), ('calm', 13)]",britpop britpop britpop britpop britpop britpop britpop britpop britpop britpop rock rock rock rock rock rock rock rock alternative alternative alternative alternative alternative alternative alternative Ashcroft Ashcroft Ashcroft Ashcroft Ashcroft Ashcroft Ashcroft indie indie indie indie indie indie british i like british i like british i like british i like british i like british i like The Verve The Verve The Verve The Verve The Verve The Verve beautiful beautiful beautiful Mellow Mellow Mellow amazing amazing Richard Ashcroft Richard Ashcroft Rock Britanico Rock Britanico jazz pop chill british alternative rock indie rock favorites calm
El Pito,Joe Cuba,4.16,4.88,4.7,latin,sad,"[('latin', 100), ('Dizzy Gillespie', 100), ('Manteca', 100), ('jazz fusion', 50), ('hot', 50), ('4', 50), ('latin jazz', 50), ('whistling', 50), ('boogaloo', 50), ('Rowdy', 50), ('SR', 50), ('handclap', 50), ('back to back', 50), ('joe cuba', 50), ('el pito', 50), ('i never go back to georgia', 50), ('belly to belly', 50), ('never go back to georgia', 50)]",latin latin latin latin latin latin latin latin latin latin Dizzy Gillespie Dizzy Gillespie Dizzy Gillespie Dizzy Gillespie Dizzy Gillespie Dizzy Gillespie Dizzy Gillespie Dizzy Gillespie Dizzy Gillespie Dizzy Gillespie Manteca Manteca Manteca Manteca Manteca Manteca Manteca Manteca Manteca Manteca jazz fusion jazz fusion jazz fusion jazz fusion jazz fusion hot hot hot hot hot 4 4 4 4 4 latin jazz latin jazz latin jazz latin jazz latin jazz whistling whistling whistling whistling whistling boogaloo boogaloo boogaloo boogaloo boogaloo Rowdy Rowdy Rowdy Rowdy Rowdy SR SR SR SR SR handclap handclap handclap handclap handclap back to back back to back back to back back to back back to back joe cuba joe cuba joe cuba joe cuba joe cuba el pito el pito el pito el pito el pito i never go back to georgia i never go back to georgia i never go back to georgia i never go back to georgia i never go back to georgia belly to belly belly to belly belly to belly belly to belly belly to belly never go back to georgia never go back to georgia never go back to georgia never go back to georgia never go back to georgia
Riding The Drag,The Narcotic Daffodils,3.52,4.38,3.45,pop,sad,"[('pop', 100), ('rock', 100), ('Belgium', 100), ('music', 100), ('records', 100), ('narcotic', 100), ('fakto', 100)]",pop pop pop pop pop pop pop pop pop pop rock rock rock rock rock rock rock rock rock rock Belgium Belgium Belgium Belgium Belgium Belgium Belgium Belgium Belgium Belgium music music music music music music music music music music records records records records records records records records records records narcotic narcotic narcotic narcotic narcotic narcotic narcotic narcotic narcotic narcotic fakto fakto fakto fakto fakto fakto fakto fakto fakto fakto
Shukuru,Pharoah Sanders,5.29,3.48,5.61,jazz,happy,"[('jazz', 100), ('80s', 34), ('favorites', 34), ('beautiful', 34), ('sax', 34), ('saxophone', 34), ('jazz fusion', 34), ('nocturnal', 34), ('1985', 34), ('pharoah sanders', 34), ('spiritual jazz', 34), ('80s jazz', 34), ('leon thomas', 34)]",jazz jazz jazz jazz jazz jazz jazz jazz jazz jazz 80s 80s 80s favorites favorites favorites beautiful beautiful beautiful sax sax sax saxophone saxophone saxophone jazz fusion jazz fusion jazz fusion nocturnal nocturnal nocturnal 1985 1985 1985 pharoah sanders pharoah sanders pharoah sanders spiritual jazz spiritual jazz spiritual jazz 80s jazz 80s jazz 80s jazz leon thomas leon thomas leon thomas
Let's Get Ourselves Together (Millenium Mix),Santana,6.57,5.04,5.79,unknown,happy,"[('mystical', 100), ('desertmovies', 100)]",mystical mystical mystical mystical mystical mystical mystical mystical mystical mystical desertmovies desertmovies desertmovies desertmovies desertmovies desertmovies desertmovies desertmovies desertmovies desertmovies
The Things That I Used To Do,G. Love & Special Sauce,4.4458940397351,3.350132450331126,5.849801324503311,blues,sad,"[('blues', 100), ('Hip-Hop', 88), ('alternative', 88), ('funk', 75), ('alternative rock', 38), ('G Love', 38), ('jazz', 25), ('Mellow', 25), ('male vocalists', 25), ('leapsandbounds CDCollection', 25), ('seen live', 13), ('chill', 13), ('rap', 13), ('Surf', 13), ('acoustic', 13), ('other', 13), ('relaxed', 13), ('funky', 13), ('Electrojazz', 13), ('harmonica', 13)]",blues blues blues blues blues blues blues blues blues blues Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop alternative alternative alternative alternative alternative alternative alternative alternative funk funk funk funk funk funk funk alternative rock alternative rock alternative rock G Love G Love G Love jazz jazz Mellow Mellow male vocalists male vocalists leapsandbounds CDCollection leapsandbounds CDCollection seen live chill rap Surf acoustic other relaxed funky Electrojazz harmonica
Walk of Shame,Thee More Shallows,3.555,5.285,4.085,indie,sad,"[('indie', 100), ('pop', 100), ('rock', 100), ('post-rock', 100), ('krautrock', 100), ('moody', 100), ('waltz', 100), ('eerie', 100)]",indie indie indie indie indie indie indie indie indie indie pop pop pop pop pop pop pop pop pop pop rock rock rock rock rock rock rock rock rock rock post-rock post-rock post-rock post-rock post-rock post-rock post-rock post-rock post-rock post-rock krautrock krautrock krautrock krautrock krautrock krautrock krautrock krautrock krautrock krautrock moody moody moody moody moody moody moody moody moody moody waltz waltz waltz waltz waltz waltz waltz waltz waltz waltz eerie eerie eerie eerie eerie eerie eerie eerie eerie eerie
Cable TV,"""Weird Al"" Yankovic",7.81,5.33,6.8,comedy,happy,"[('comedy', 100), ('80s', 80), ('parody', 80), ('pop', 60), ('rock', 20), ('catchy', 20), ('cover', 20), ('eighties', 20), ('novelty', 20), (""80's"", 20), ('1980s', 20), ('satire', 20), ('6 of 10 stars', 20), ('humorous', 20), ('Weird Al Yankovic', 20), ('elton john cover', 20), (""1980's"", 20)]",comedy comedy comedy comedy comedy comedy comedy comedy comedy comedy 80s 80s 80s 80s 80s 80s 80s 80s parody parody parody parody parody parody parody parody pop pop pop pop pop pop rock rock catchy catchy cover cover eighties eighties novelty novelty 80's 80's 1980s 1980s satire satire 6 of 10 stars 6 of 10 stars humorous humorous Weird Al Yankovic Weird Al Yankovic elton john cover elton john cover 1980's 1980's
Dead Eyes,aktivehate,1.575,1.66,1.575,dark electro,sad,"[('dark electro', 100), ('ethereal', 50), ('ebm', 50), ('terror ebm', 50), ('gloomy', 50), ('melodramatic', 50), ('DarkLight', 50), ('jarry', 50)]",dark electro dark electro dark electro dark electro dark electro dark electro dark electro dark electro dark electro dark electro ethereal ethereal ethereal ethereal ethereal ebm ebm ebm ebm ebm terror ebm terror ebm terror ebm terror ebm terror ebm gloomy gloomy gloomy gloomy gloomy melodramatic melodramatic melodramatic melodramatic melodramatic DarkLight DarkLight DarkLight DarkLight DarkLight jarry jarry jarry jarry jarry
Dust,Ainslie Henderson,3.515,4.065,4.07,unknown,sad,"[('seen live', 100), ('beautiful', 100), ('melancholy', 100), ('brooding', 100), ('aching', 100), ('almost favourite songs', 100)]",seen live seen live seen live seen live seen live seen live seen live seen live seen live seen live beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful melancholy melancholy melancholy melancholy melancholy melancholy melancholy melancholy melancholy melancholy brooding brooding brooding brooding brooding brooding brooding brooding brooding brooding aching aching aching aching aching aching aching aching aching aching almost favourite songs almost favourite songs almost favourite songs almost favourite songs almost favourite songs almost favourite songs almost favourite songs almost favourite songs almost favourite songs almost favourite songs
Political,Halou,5.858999999999999,2.849,5.256,trip-hop,happy,"[('trip-hop', 100), ('female vocalists', 53), ('chillout', 48), ('ambient', 30), ('electronic', 24), ('downtempo', 24), ('beautiful', 18), ('chill', 12), ('indie electronic', 12), ('Retro', 12), ('soft', 12), ('soothing', 12), ('mood music', 12), ('alternative', 6), ('other', 6), ('atmospheric', 6), ('trip hop', 6), ('amazing', 6), ('ethereal', 6), ('relaxing', 6)]",trip-hop trip-hop trip-hop trip-hop trip-hop trip-hop trip-hop trip-hop trip-hop trip-hop female vocalists female vocalists female vocalists female vocalists female vocalists chillout chillout chillout chillout ambient ambient ambient electronic electronic downtempo downtempo beautiful chill indie electronic Retro soft soothing mood music
Close-Up,Charles Wilp,6.32,5.13,6.18,bajki,happy,"[('sophisticated', 100), ('never heard of the centre of the world', 100), ('bajki', 100)]",sophisticated sophisticated sophisticated sophisticated sophisticated sophisticated sophisticated sophisticated sophisticated sophisticated never heard of the centre of the world never heard of the centre of the world never heard of the centre of the world never heard of the centre of the world never heard of the centre of the world never heard of the centre of the world never heard of the centre of the world never heard of the centre of the world never heard of the centre of the world never heard of the centre of the world bajki bajki bajki bajki bajki bajki bajki bajki bajki bajki
i don't want to,Lola Demo,2.75,5.75,4.73,indie,sad,"[('indie', 100), ('alternative', 100), ('pop', 50), ('singer-songwriter', 50), ('singer songwriter', 50), ('female vocal', 50), ('lo fi', 50), ('Trashy', 50)]",indie indie indie indie indie indie indie indie indie indie alternative alternative alternative alternative alternative alternative alternative alternative alternative alternative pop pop pop pop pop singer-songwriter singer-songwriter singer-songwriter singer-songwriter singer-songwriter singer songwriter singer songwriter singer songwriter singer songwriter singer songwriter female vocal female vocal female vocal female vocal female vocal lo fi lo fi lo fi lo fi lo fi Trashy Trashy Trashy Trashy Trashy
Dos,Chevelle,6.325681818181818,5.569318181818182,6.062954545454545,alternative rock,happy,"[('alternative rock', 100), ('rock', 88), ('hard rock', 75), ('indie', 25), ('alternative', 25), ('90s', 25), ('amazing', 25), ('favourite', 25), ('chevelle', 25), ('alternative vocals', 25), ('favorite alternative rock', 25), ('heavy metal', 13), ('metal', 13), ('Grunge', 13), ('american', 13), ('Muse', 13), ('alternative metal', 13), ('christian', 13), ('poetic', 13), ('chicago', 13)]",alternative rock alternative rock alternative rock alternative rock alternative rock alternative rock alternative rock alternative rock alternative rock alternative rock rock rock rock rock rock rock rock rock hard rock hard rock hard rock hard rock hard rock hard rock hard rock indie indie alternative alternative 90s 90s amazing amazing favourite favourite chevelle chevelle alternative vocals alternative vocals favorite alternative rock favorite alternative rock heavy metal metal Grunge american Muse alternative metal christian poetic chicago
Spooky Boogie,Gentle Giant,3.77609375,3.1606250000000005,3.520156249999999,progressive rock,sad,"[('Progressive rock', 100), ('instrumental', 38), ('rock', 25), ('halloween', 25), ('gentle giant', 25), ('recommended by hypnochicken', 25), ('70s', 13), ('prog', 13), ('Symphonic Rock', 13), ('spooky', 13), ('Progressive', 13), ('unpredictable', 13), ('prog rock', 13), ('Favorite', 13), ('Favourites', 13), ('juggalo', 13), ('humorous', 13), ('elaborate', 13), ('odd meters', 13), ('silent intensity', 13)]",Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock Progressive rock instrumental instrumental instrumental rock rock halloween halloween gentle giant gentle giant recommended by hypnochicken recommended by hypnochicken 70s prog Symphonic Rock spooky Progressive unpredictable prog rock Favorite Favourites juggalo humorous elaborate odd meters silent intensity
And I Dreamt of You,Underoath,6.6225,5.84,5.595000000000001,metalcore,happy,"[('metalcore', 100), ('screamo', 84), ('hardcore', 59), ('deathcore', 50), ('black metal', 42), ('emo', 42), ('Melodic Death Metal', 34), ('melodic black metal', 34), ('wraugh', 34), ('metal', 25), ('death metal', 25), ('Underoath', 25), ('underoath and i dreamt of you', 25), ('Progressive metal', 17), ('intense', 17), ('post-hardcore', 17), ('melodic metalcore', 17), ('rawkcore', 17), ('blackened metalcore', 17), ('music to beat copious amounts of ass to', 17)]",metalcore metalcore metalcore metalcore metalcore metalcore metalcore metalcore metalcore metalcore screamo screamo screamo screamo screamo screamo screamo screamo hardcore hardcore hardcore hardcore hardcore deathcore deathcore deathcore deathcore deathcore black metal black metal black metal black metal emo emo emo emo Melodic Death Metal Melodic Death Metal Melodic Death Metal melodic black metal melodic black metal melodic black metal wraugh wraugh wraugh metal metal death metal death metal Underoath Underoath underoath and i dreamt of you underoath and i dreamt of you Progressive metal intense post-hardcore melodic metalcore rawkcore blackened metalcore music to beat copious amounts of ass to
